Country,Date,Time,Year,Site,Cluster,Plot,Latitude,Longitude,Altitude,Accuracy,Photo,SlopeDn,SlopeUp,AvSlope,MajLform,LformDes,PosTopoSeq,PlotCultMgd,Trees,Shrubs,LandOwnership,SEVEREEROS,SWCDescr,AvShrubDensity,AvTreeDensity,VegStructure,ImpactTreeCutting,ImpactAgric,ImpactGrazing,ImpactFire,ImpactUrban,ImpactIndustry,ImpactErosion,ImpactAlienVeg,ImpactCollecting,ImpactOther,fym,freq,fert,fallow,Brnt,KEY,notes1,notes2,LDSFID,LandUse,Crop,Age,Rotation,Intercrping,BrntFreq,FallowYrs
Kenya,2-May-19,10:42:00 AM,2019,Chasimba,1,1,-3.79033,39.656,172.7,5,media/1556782996228.jpg,10,10,10,sloping,medium_gradient_hill,footslope,yes,yes,yes,private,1,none,0,75,cropland,0,3,0,0,0,0,3,2,0,0,yes,,no,no,no,uuid:79211853-7124-473b-975b-185639cf87eb,Cumass 50 cm,"Use manure,
Kcep farmer",,annual_agroforestry,"Maize, cassava, cowpeas",100,no,yes,,
Kenya,2-May-19,4:06:00 PM,2019,Chasimba,1,2,-3.7892,39.6464,235,5,media/1556802435814.jpg,2,0,1,sloping,low_gradient_hill,upland,yes,yes,yes,private,0,none,25,25,cropland,0,3,1,0,0,0,1,1,0,0,no,,no,no,yes,uuid:0d769458-fec0-49a7-b530-c84d35ab3e10,Cumass 29 cm,"Burn every year.
Use ox plough.
Home consumption.
Use local seed varieties.
Not in kcep",,annual_agroforestry,"Maize, cassava,cowpeas",100,no,yes,Every year,
Kenya,2-May-19,11:57:00 AM,2019,Chasimba,1,3,-3.79168,39.6544,215.1,4,media/1556787505961.jpg,10,11,10.5,sloping,medium_gradient_hill,midslope,no,yes,no,private,1,none,0,25,bushland,0,3,2,0,2,0,2,1,0,0,no,,no,yes,yes,uuid:228fd426-4093-4b23-b2e8-462b13c6c81a,,"Fallow 7 years.
Plot has been burned ready for cultivation",,fallow,"Maize, cassava, cowpeas",80,no,no,When are planning to plough,10
Kenya,2-May-19,8:49:00 AM,2019,Chasimba,1,4,-3.78266,39.6539,207.6,4,media/1556776228281.jpg,7,6,6.5,sloping,medium_gradient_hill,ridge_crest,no,yes,yes,private,1,none,225,75,bushland,0,0,0,0,0,0,2,2,1,0,no,,no,yes,no,uuid:06143f49-49ea-4427-bfaf-8cf1dcdf9163,"Cumass 50 cm,infiltration","Fallow 5 years,
Not kcep",,fallow,"Cassava, maize, cowpeas",75,no,no,,5
Kenya,2-May-19,9:47:00 AM,2019,Chasimba,1,5,-3.78432,39.6542,211.3,5,media/1556779677387.jpg,7,8,7.5,sloping,medium_gradient_hill,ridge_crest,yes,yes,no,private,0,none,0,0,cropland,0,3,0,0,0,0,3,1,0,0,no,,yes,no,no,uuid:9daaec88-c5ac-4354-bfd8-bdabe8464b6f,"Cumass 30 cm,
Infiltration",Kcep farmer,,annual_agroforestry,"Maize, cassava, beans, cowpeas",55,no,yes,,
Kenya,2-May-19,3:26:00 PM,2019,Chasimba,1,6,-3.78344,39.6472,233.3,5,media/1556800000152.jpg,6,6,6,sloping,medium_gradient_hill,midslope,yes,yes,yes,private,1,none,100,125,cropland,0,3,1,0,0,0,1,2,0,0,no,,no,no,no,uuid:4b4fd22a-b57d-408d-8369-b6370fc9c2a0,Cumass 68 cm,"Burn every year.
Not in kcep- cral",,annual_agroforestry,"Maize, cassava, beans",100,no,yes,,
Kenya,2-May-19,4:52:00 PM,2019,Chasimba,1,7,-3.7908,39.6466,241.4,5,media/1556803945076.jpg,1,2,1.5,sloping,low_gradient_hill,upland,yes,yes,yes,communal,0,none,25,75,cropland,0,2,1,0,0,0,1,1,0,0,no,,no,no,no,uuid:c9e9e484-b061-4159-a574-19946f8ae5bc,Cumass 30 cm,"Use ox plough,
Not in kcep",,annual_agroforestry,"Maize, cowpeas, cassava",100,no,yes,,
Kenya,1-May-19,11:49:00 AM,2019,Chasimba,1,8,-3.79108,39.6504,220.7,5,media/1556700696438.jpg,6,6,6,sloping,medium_gradient_hill,ridge_crest,yes,yes,yes,private,0,none,50,150,shrubland,0,3,1,0,0,0,2,2,1,0,no,,yes,no,no,uuid:c0385b37-f818-475c-b014-1b2eb7dfeed3,"Cumass 50 cm,infiltration","Mixed cropping maize and cowpeas,
Use fertilizer,
Kcep farmer.",,annual_agroforestry,"Maize, cowpeas, cassava, Cocos nucifera",60,no,yes,,
Kenya,2-May-19,11:20:00 AM,2019,Chasimba,1,9,-3.78792,39.6557,184.3,5,media/1556785240170.jpg,15,12,13.5,sloping,medium_gradient_hill,footslope,yes,no,yes,private,1,none,225,0,cropland,0,3,1,0,0,0,2,2,0,0,no,,no,no,no,uuid:d53a041c-8394-4a9c-9b6c-d06c346732a4,Cumass 50 cm,"Use local seed varieties,
Use ox plough,
Not in kcep",,annual_agroforestry,"Maize, cassava, cowpeas, Cocos nucifera",100,no,yes,,
Kenya,2-May-19,12:51:00 PM,2019,Chasimba,1,10,-3.78608,39.6499,218.7,5,media/1556790219855.jpg,15,11,13,sloping,medium_gradient_hill,midslope,no,yes,yes,private,1,none,25,50,bushland,0,2,2,0,0,0,2,2,0,0,no,,no,yes,no,uuid:53fcd6c7-b738-41f5-b3e2-a6010991373c,,"Fallow 3 years.
Use manure.
Not in kcep - cral",,fallow,"Cassava, maize, cowpeas",100,no,no,,3
